Comment Date,Comment
"Apr 25, 2016, 12:31:55 AM",Bike ride tagged as run
"Apr 25, 2016, 12:38:57 AM",bike ride tagged as run
"Sep 3, 2018, 2:43:02 PM","Great job, Ben!  The elevation on that third mile looks tough!"
"Sep 13, 2018, 5:36:26 PM","Not bad, about 10 sec slower than I would have liked.  I should have done another warm up mile first and picked a route with less storm debris."
"Oct 15, 2018, 2:25:12 PM",I was wondering what happened on Saturday.  Nice job getting back out there on a tough weather day!
"Nov 15, 2018, 11:33:17 PM",Do it!
"Nov 17, 2018, 5:48:46 PM",Looks like those easy days did some good. Glad you’re feeling fast again!
"Nov 17, 2018, 5:49:31 PM",Maybe 3:30. We’ll see how a 20-22 miler feels after rock and roll. 
"Dec 2, 2018, 7:45:11 PM",Thanks!  All credit goes to my awesome training partners!
"Dec 2, 2018, 9:08:56 PM","Sorry about the cramp, looks like you were going strong before that.  A lot of people struggled out there today as the weather got warmer."
"Dec 4, 2018, 4:11:42 PM","My left calf still has a pretty good knot in it, but other than that the legs are just a little heavy.  How are you guys feeling?"
"Dec 6, 2018, 4:00:54 PM",Good to see you back!
"Dec 17, 2018, 4:55:15 PM","I am fast! I am very fast! I'm like Forrest Gump, except I am not an idiot."
"Dec 27, 2018, 2:41:47 PM",Training through Christmas week is tough.  I'm sure you'll feel back to normal next week.
"Dec 28, 2018, 2:17:34 PM","""In an ideal world, I would have all 10 fingers on my left hand so my right hand could just be a fist for punching.""  I don't think you can ever run out of office quotes..."
"Dec 30, 2018, 2:32:27 PM",Houston marathon in 3 weeks!
"Dec 30, 2018, 4:48:52 PM","😝 How would I describe myself? Three words: hardworking, alpha male, jackhammer, merciless, insatiable."
"Jan 5, 2019, 1:02:12 AM",Good luck!
"Jan 5, 2019, 5:24:10 PM",You guys were flying out there!
"Jan 5, 2019, 5:33:42 PM",You had a long morning before the run even started.  Thanks for setting up the water today!
"Jan 16, 2019, 6:45:50 PM",Every time I look at the forecast it is colder and the wind gets stronger!  
"Jan 18, 2019, 4:20:16 PM",Thanks!  Looks like it is going to be a cold and windy one...
"Jan 20, 2019, 7:46:57 PM",That’s a great time especially considering the hamstring trouble!
"Jan 20, 2019, 7:50:16 PM",Sorry you couldn’t run but glad you shut it down when you did. It’s definitely it worth risking your buildup for Boston!
"Jan 22, 2019, 7:09:41 PM",Great work!
"Jan 22, 2019, 7:13:36 PM",That does not look fun.  Especially that 4th mile!
"Feb 2, 2019, 11:49:18 PM","Thanks!  I think the short course makes it look a little better, but I was pretty happy with the result for an off day."
"Feb 3, 2019, 5:25:52 PM","Nice pace!  Probably would have still been under 19 if the course was correct, which is awesome especially with that hill. "
"Feb 3, 2019, 9:36:35 PM","lol.  Thanks, Jon.  The shoes are awesome!"
"Feb 5, 2019, 10:00:40 PM",Pull up injured or accidentally stopped the watch?
"Feb 5, 2019, 10:31:27 PM",👍😀
"Feb 16, 2019, 6:11:01 PM",Great job!  I bet that was a blast!  Was there a lot of runners?
"Feb 24, 2019, 12:21:57 AM",Thanks!  It was definitely encouraging after some mediocre workouts over the last few weeks.  Glad to see you're getting back up to speed!
"Feb 24, 2019, 4:34:41 PM",The El Alebrije March 30. It’s the same company that did yesterday’s race. I signed up for the whole series of nine races but now I’m worried they will all be short. 
"Feb 26, 2019, 6:36:07 PM",Nice work!  Hope the foot pain isn't anything serious.
"Mar 5, 2019, 12:51:38 AM",Thanks!  Doing some shorter intervals to try and get some speed back.
"Mar 8, 2019, 7:05:22 PM",Thanks!  
"Mar 9, 2019, 9:54:30 PM",Great job!  Way to push through that tough weather out there today. 
"Mar 18, 2019, 5:28:24 PM","Nice pace, and at 3:45 AM?  That's dedication!"
"Mar 20, 2019, 7:28:14 PM","Great. They stole my laptop.
Yeah, well, they stole my surge protector.
How does that even compare!
I'm now going to be prone to surges!"
"Apr 2, 2019, 4:43:32 PM","How did the hills affect you last year? That 150ft of climbing in the first 3 miles could be rough, but then the last three look pretty much all downhill.   I was thinking of shooting for 41:XX, but I'm second guessing myself..."
"Apr 2, 2019, 5:21:54 PM",Thanks!  I didn't even think about the added distance.  Looking on Strava at other runners from last year it looks like a lot of people run much faster in the second half like you did.  Lets hope the weather cooperates!
"Apr 8, 2019, 4:24:13 PM",Too bad about the race cancellation yesterday!  Today's weather would have been perfect.
"Apr 10, 2019, 9:59:18 PM",We must have juuuust missed each other! 
"Apr 15, 2019, 8:57:29 PM",Nice work!
"Apr 15, 2019, 10:39:10 PM","Yeah, i need to take the 5 lbs off and get the volume back up a little.  This 20-30 a week isn’t doing anything for me. "
"Apr 15, 2019, 10:42:59 PM",Great job on a tough day!
"Apr 16, 2019, 1:01:46 AM",Really impressive!  After a less than ideal training cycle and a crazy weather day you still put up a great time.  
