Follower Athlete ID,Following Athlete ID,Favorite Status
317681,154807,Boost Activities in Feed
9182092,154807,Boost Activities in Feed
26787661,154807,Boost Activities in Feed
317681,154807,Subscribed to Activity Notifications on Upload
11888135,154807,Muted Activities in Feed
50959418,154807,Muted Activities in Feed
154807,317681,Boost Activities in Feed
154807,10952601,Boost Activities in Feed
154807,26787661,Boost Activities in Feed
154807,317681,Subscribed to Activity Notifications on Upload
154807,10952601,Subscribed to Activity Notifications on Upload
154807,26787661,Subscribed to Activity Notifications on Upload
