Follower Athlete ID,Follow Status,Created At
317681,Accepted,"Mar 11, 2012, 3:58:45 PM"
2947166,Accepted,"Sep 2, 2013, 8:05:28 AM"
3224436,Accepted,"Jul 1, 2014, 5:08:00 PM"
5145603,Accepted,"Dec 14, 2014, 7:53:02 PM"
7762604,Accepted,"Jan 28, 2015, 4:16:28 AM"
8987043,Accepted,"May 2, 2015, 2:25:34 PM"
10888770,Accepted,"Mar 22, 2016, 1:51:08 AM"
2236142,Accepted,"Apr 3, 2016, 2:49:59 PM"
13595233,Accepted,"Apr 5, 2016, 2:24:40 PM"
17419356,Accepted,"Sep 8, 2016, 9:51:49 AM"
11481883,Accepted,"Oct 12, 2016, 2:23:31 AM"
5678523,Accepted,"Nov 8, 2016, 12:29:58 PM"
9279134,Accepted,"Feb 26, 2017, 2:15:05 PM"
9903732,Accepted,"Apr 21, 2017, 6:36:24 AM"
22718489,Accepted,"Jun 24, 2017, 10:06:21 AM"
15257664,Accepted,"Nov 6, 2017, 6:24:02 PM"
26787661,Accepted,"Jul 28, 2018, 2:34:19 PM"
9926053,Accepted,"Aug 4, 2018, 9:37:01 PM"
3175377,Accepted,"Aug 11, 2018, 4:00:00 PM"
2777650,Accepted,"Sep 16, 2018, 8:31:14 PM"
31950472,Accepted,"Oct 20, 2018, 6:33:17 PM"
15715849,Accepted,"Oct 20, 2018, 8:06:19 PM"
32916357,Accepted,"Oct 20, 2018, 9:52:20 PM"
33999318,Accepted,"Nov 27, 2018, 7:33:01 PM"
35891303,Accepted,"Dec 3, 2018, 1:09:57 AM"
10952601,Accepted,"Dec 9, 2018, 2:17:24 AM"
16312028,Accepted,"Dec 9, 2018, 6:16:25 PM"
27003609,Accepted,"Jan 5, 2019, 6:16:27 PM"
23059647,Accepted,"Jan 26, 2019, 2:59:28 PM"
38168164,Accepted,"Jan 26, 2019, 3:02:46 PM"
36986689,Accepted,"Jan 26, 2019, 3:41:26 PM"
2215063,Accepted,"Feb 3, 2019, 9:01:56 PM"
31876845,Accepted,"Feb 5, 2019, 3:40:23 PM"
38148193,Accepted,"Feb 6, 2019, 3:50:03 AM"
2796766,Accepted,"Feb 8, 2019, 3:18:06 AM"
6988354,Accepted,"Feb 23, 2019, 4:33:08 PM"
36259516,Accepted,"Apr 7, 2019, 11:58:25 PM"
24163752,Accepted,"Apr 11, 2019, 4:16:30 AM"
39153687,Accepted,"May 4, 2019, 1:58:36 PM"
12182316,Accepted,"May 19, 2019, 5:15:34 AM"
42184365,Accepted,"Jun 19, 2019, 3:56:56 AM"
10465492,Accepted,"Aug 12, 2019, 11:45:51 PM"
6572560,Accepted,"Aug 14, 2019, 12:47:42 AM"
37657447,Accepted,"Aug 16, 2019, 2:09:29 AM"
11590065,Accepted,"Aug 18, 2019, 8:13:23 PM"
39791762,Accepted,"Aug 24, 2019, 2:35:27 PM"
43231426,Accepted,"Aug 27, 2019, 5:54:36 PM"
21262926,Accepted,"Aug 28, 2019, 7:16:26 PM"
41988647,Accepted,"Aug 31, 2019, 3:39:02 AM"
36076571,Accepted,"Sep 9, 2019, 1:05:35 AM"
42062355,Accepted,"Sep 9, 2019, 11:10:45 PM"
42936343,Accepted,"Sep 11, 2019, 1:13:44 AM"
17683558,Accepted,"Sep 17, 2019, 3:10:39 AM"
43889210,Accepted,"Sep 17, 2019, 3:57:00 AM"
11402135,Accepted,"Oct 8, 2019, 1:03:37 AM"
38496837,Accepted,"Oct 12, 2019, 11:20:05 AM"
48954958,Accepted,"Dec 21, 2019, 3:05:20 PM"
6192334,Accepted,"Jan 20, 2020, 1:10:17 AM"
16248587,Accepted,"Jan 20, 2020, 8:42:54 AM"
31480718,Accepted,"Feb 4, 2020, 12:38:15 AM"
