Following Athlete ID,Follow Status,Created At
317681,Accepted,"Mar 11, 2012, 3:58:46 PM"
3224436,Accepted,"Jul 1, 2014, 1:50:51 PM"
4468784,Accepted,"Sep 17, 2014, 2:15:32 PM"
2844762,Accepted,"Nov 14, 2014, 2:01:43 AM"
2236142,Accepted,"Feb 22, 2016, 10:59:27 PM"
11481883,Accepted,"Feb 22, 2016, 10:59:32 PM"
8987043,Accepted,"Feb 22, 2016, 10:59:32 PM"
10888770,Accepted,"Mar 22, 2016, 1:47:39 AM"
13595233,Accepted,"Aug 7, 2016, 10:46:20 AM"
12553468,Accepted,"Sep 7, 2016, 12:50:52 PM"
17419356,Accepted,"Sep 8, 2016, 12:24:09 PM"
9279134,Accepted,"Feb 26, 2017, 12:28:35 PM"
22718489,Accepted,"Jun 24, 2017, 5:22:22 AM"
15257664,Accepted,"Nov 6, 2017, 5:22:55 PM"
144100,Accepted,"Jan 10, 2018, 5:22:12 PM"
1004493,Accepted,"Jan 26, 2018, 8:43:06 PM"
29763997,Accepted,"Aug 1, 2018, 12:00:42 PM"
9926053,Accepted,"Aug 5, 2018, 3:20:27 AM"
3175377,Accepted,"Aug 11, 2018, 4:06:37 PM"
16312028,Accepted,"Sep 9, 2018, 1:57:40 AM"
29076610,Accepted,"Sep 9, 2018, 1:57:42 AM"
33999318,Accepted,"Sep 9, 2018, 1:57:43 AM"
24163752,Accepted,"Sep 9, 2018, 1:57:45 AM"
2777650,Accepted,"Sep 17, 2018, 12:36:17 PM"
547053,Accepted,"Oct 11, 2018, 6:47:00 PM"
15715849,Accepted,"Oct 20, 2018, 9:33:04 PM"
31950472,Accepted,"Oct 20, 2018, 9:33:09 PM"
32916357,Accepted,"Oct 20, 2018, 9:44:28 PM"
10349357,Accepted,"Oct 25, 2018, 8:01:30 PM"
10952601,Accepted,"Oct 31, 2018, 4:15:35 PM"
35891303,Accepted,"Dec 2, 2018, 9:03:36 PM"
11204534,Accepted,"Dec 30, 2018, 7:11:06 PM"
27003609,Accepted,"Jan 5, 2019, 5:34:32 PM"
38148193,Accepted,"Jan 11, 2019, 5:13:21 PM"
1635688,Accepted,"Jan 20, 2019, 10:38:25 PM"
23059647,Accepted,"Jan 26, 2019, 2:57:39 PM"
36986689,Accepted,"Jan 26, 2019, 2:57:43 PM"
38168164,Accepted,"Jan 26, 2019, 2:57:47 PM"
36259516,Accepted,"Jan 29, 2019, 12:11:12 AM"
2215063,Accepted,"Feb 3, 2019, 8:57:00 PM"
2796766,Accepted,"Feb 8, 2019, 4:27:53 PM"
6988354,Accepted,"Feb 24, 2019, 12:22:24 AM"
11727000,Accepted,"Apr 4, 2019, 4:09:19 PM"
7780234,Accepted,"Apr 19, 2019, 4:11:23 PM"
39153687,Accepted,"May 4, 2019, 1:58:14 PM"
42184365,Accepted,"Jun 22, 2019, 3:47:42 PM"
