Join Date,Name,Completed
"Mar 9, 2012, 6:55:40 AM","GU 100,000 Mile Challenge",false
"Apr 26, 2012, 6:13:08 PM",Strive for the Summit Run Challenge,false
"Jul 19, 2012, 9:30:46 PM",The Speedgoat 50k Challenge,false
"Aug 26, 2012, 8:15:33 PM",Trail Runner 100 Mile Challenge ,false
"Oct 16, 2012, 5:58:18 PM",Road ID Lace 'em Up Challenge,false
"Oct 16, 2012, 5:58:45 PM",The North Face Ultra Challenge,false
"Dec 28, 2012, 11:28:27 AM",Strava Run Base Mile Blast,true
"Mar 22, 2013, 7:54:31 AM",April 2013 Marathon,true
"Jun 29, 2013, 1:53:22 AM",The Junedoggle,false
"Jun 29, 2013, 1:54:21 AM",The Dirt Search,false
"Jul 31, 2013, 11:21:15 PM",The Getaway,false
"Jul 31, 2013, 11:22:08 PM",ROLL Recovery R8k,true
"Aug 10, 2013, 2:01:04 PM",August 2013 Half Marathon,false
"Sep 3, 2013, 6:54:25 PM",September 2013 Long Run,true
"Sep 3, 2013, 6:54:38 PM",The Extender,true
"Sep 3, 2013, 6:54:49 PM",Mizuno Mt. Fuji Challenge,true
"Sep 3, 2013, 6:55:03 PM",October 2013 Marathon,false
"Sep 30, 2013, 10:49:57 PM",Turn Up the Heat,true
"Oct 30, 2013, 1:03:14 AM",Find Your Way,false
"Oct 30, 2013, 1:03:49 AM",Any Way 10k,true
"Dec 2, 2013, 1:11:09 AM",The Anchor,false
"Jan 5, 2014, 6:34:30 PM",Prove It - Run,true
"Jan 5, 2014, 6:34:47 PM",Strava Races Half Marathon,true
"Jan 5, 2014, 6:35:01 PM",Strava Races 10k,true
"Feb 1, 2014, 2:21:29 AM",February MTS,false
"Feb 1, 2014, 2:21:51 AM",Strava Races Half Marathon,true
"Feb 1, 2014, 2:22:09 AM",Strava Races 10k,true
"Mar 26, 2014, 1:48:34 AM",Strava Races 10k,true
"Mar 26, 2014, 1:50:11 AM",Strava Races Half Marathon,true
"Mar 26, 2014, 1:50:31 AM",March MTS,false
"Apr 1, 2014, 12:09:06 AM",April MTS,false
"Apr 1, 2014, 12:09:26 AM",Strava Races Half Marathon,false
"Apr 1, 2014, 12:09:45 AM",Strava Races 10k,true
"May 28, 2014, 12:04:52 PM",Strava Races 10k,true
"May 28, 2014, 12:04:58 PM",Strava Races Half Marathon,false
"May 28, 2014, 12:05:02 PM",June MTS,false
"Jun 30, 2014, 11:49:11 PM",July MTS,false
"Jun 30, 2014, 11:49:18 PM",Strava Races Half Marathon,false
"Jun 30, 2014, 11:49:23 PM",lululemon SeaWheeze Challenge,false
"Jul 29, 2014, 1:33:40 AM",Strava Races 10k,true
"Aug 5, 2014, 1:19:04 AM",August MTS,false
"Aug 5, 2014, 1:19:22 AM",Strava Races Half Marathon,false
"Aug 5, 2014, 1:19:42 AM",Strava Races 10k,true
"Sep 7, 2014, 12:37:52 AM",Strava Races 10k,true
"Sep 7, 2014, 12:38:06 AM",Strava Races Half Marathon,true
"Sep 7, 2014, 12:38:22 AM",September MTS,false
"Sep 23, 2014, 9:40:32 AM",Run for Challenged Athletes,false
"Dec 2, 2014, 1:17:28 AM",Strava Races 10k,true
"Dec 2, 2014, 1:17:49 AM",Strava Races Half Marathon,true
"Dec 2, 2014, 1:18:05 AM",December MTS,false
"Jun 2, 2016, 2:44:54 PM",Strava Races: Half Marathon,true
"Jun 2, 2016, 2:45:04 PM",June Distance Challenge,false
"Jun 2, 2016, 2:45:11 PM",Strava Races: 10k,true
"Jun 2, 2016, 2:45:18 PM",June Run Climbing Challenge,false
"Aug 2, 2016, 3:04:53 AM",August Run Climbing Challenge,false
"Aug 2, 2016, 3:04:58 AM",Strava Races: 10k,true
"Aug 2, 2016, 3:05:12 AM",Strava Races: Half Marathon,false
"Aug 2, 2016, 3:05:15 AM",August Distance Challenge,false
"Aug 2, 2016, 3:05:18 AM",UTMB® Climbing Challenge,false
"Nov 12, 2016, 3:32:56 PM",Reebok Run Light Challenge,true
"Mar 2, 2017, 5:13:16 PM",March Half Marathon,false
"Mar 2, 2017, 5:13:16 PM",March Run Climbing Challenge,false
"Mar 2, 2017, 5:13:18 PM",March 10K,true
"Mar 2, 2017, 5:13:28 PM",March Running Distance Challenge,false
"Jun 29, 2017, 5:18:36 AM",July Running Distance Challenge,false
