Goal Type,Activity Type,Goal,Start Date,End Date,Segment ID,Time Period,Interval Time
Distance Goal,Run,3250875.0,"Jan 3, 2020, 4:05:53 PM",,,Year
Distance Goal,Run,107826.05,"Dec 7, 2020, 1:16:55 PM",,,Week
Distance Goal,Run,57936.38,"May 10, 2021, 9:10:32 AM",,,Week
Distance Goal,Run,3249266.0,"Jan 1, 2019, 9:04:56 PM",,,Year
Distance Goal,Run,80467.2,"Jun 2, 2021, 4:13:53 PM",,,Week
Distance Goal,Run,2414016.0,"Jan 21, 2016, 1:50:39 AM",,,Year
Distance Goal,Run,1609344.0,"May 30, 2020, 5:29:15 PM",,,Year
Distance Goal,Run,64374.0,"Jun 10, 2019, 7:03:38 PM",,,Week
Distance Goal,Run,4023360.0,"Jan 1, 2021, 11:08:29 AM",,,Year
Distance Goal,Run,85295.23,"Aug 12, 2021, 9:18:58 AM",,,Week
Distance Goal,Run,96561.0,"Oct 13, 2019, 3:13:59 PM",,,Week
Distance Goal,Run,2414016.0,"Jun 15, 2020, 6:32:17 AM",,,Year
Distance Goal,Run,80467.0,"Dec 10, 2018, 4:16:35 PM",,,Week
Distance Goal,Run,93341.95,"Dec 15, 2020, 7:10:41 AM",,,Week
Distance Goal,Run,72420.48,"Apr 5, 2021, 10:20:36 AM",,,Week
Distance Goal,Run,82076.54,"Jul 22, 2021, 1:19:21 PM",,,Week
Distance Goal,Run,96560.64,"Jan 19, 2021, 11:07:41 AM",,,Week
Distance Goal,Run,1207008.0,"Jun 29, 2017, 6:05:29 AM",,,Year
Distance Goal,Run,88513.92,"Nov 30, 2020, 2:02:32 PM",,,Week
Distance Goal,Run,64373.76,"Mar 1, 2021, 8:45:43 AM",,,Week
Distance Goal,Run,80467.2,"Sep 3, 2020, 10:52:31 AM",,,Week
Distance Goal,Run,64374.0,"Jun 1, 2020, 9:17:53 AM",,,Week
Distance Goal,Run,64373.76,"Jun 21, 2021, 11:35:06 AM",,,Week
Distance Goal,Run,83685.89,"Jul 24, 2021, 6:26:14 PM",,,Week
Distance Goal,Run,88513.92,"Oct 18, 2021, 9:28:07 AM",,,Week
Distance Goal,Run,86904.58,"Feb 2, 2021, 9:14:21 AM",,,Week
Distance Goal,Run,80467.0,"Aug 3, 2019, 5:49:52 PM",,,Week
Distance Goal,Run,83685.89,"Jul 12, 2021, 8:33:53 AM",,,Week
Distance Goal,Run,80467.0,"Jan 1, 2019, 9:04:56 PM",,,Week
Distance Goal,Run,80467.2,"Aug 13, 2020, 1:14:01 PM",,,Week
Distance Goal,Run,106216.7,"Nov 28, 2020, 9:01:48 AM",,,Week
Distance Goal,Run,96561.0,"Jan 4, 2020, 7:37:06 PM",,,Week
Distance Goal,Run,93341.95,"Sep 29, 2020, 11:09:30 AM",,,Week
Distance Goal,Run,72420.48,"Jul 7, 2021, 4:17:33 PM",,,Week
Distance Goal,Run,96560.64,"Oct 17, 2020, 9:28:53 AM",,,Week
Distance Goal,Run,91732.61,"Aug 31, 2020, 6:22:17 PM",,,Week
Distance Goal,Run,96560.64,"Sep 7, 2020, 11:09:30 AM",,,Week
Distance Goal,Run,1609344.0,"Jan 8, 2018, 4:46:26 PM",,,Year
Distance Goal,Run,88513.92,"Nov 29, 2021, 9:43:03 AM",,,Week
Distance Goal,Run,96560.64,"Aug 29, 2020, 10:40:29 AM",,,Week
Distance Goal,Run,99779.33,"Oct 27, 2021, 6:59:26 PM",,,Week
Distance Goal,Run,83685.89,"Sep 26, 2020, 8:29:18 AM",,,Week
Distance Goal,Run,80467.0,"Jun 18, 2019, 1:42:55 PM",,,Week
Distance Goal,Run,2414016.0,"Aug 13, 2020, 1:14:01 PM",,,Year
Distance Goal,Run,80467.0,"Dec 10, 2018, 4:16:35 PM",,,Week
Distance Goal,Run,72420.48,"May 28, 2021, 5:51:44 PM",,,Week
Distance Goal,Run,91732.61,"Aug 26, 2021, 10:41:54 AM",,,Week
Distance Goal,Run,80467.0,"Jul 15, 2019, 6:46:52 PM",,,Week
Distance Goal,Run,98169.98,"Sep 3, 2021, 8:27:30 AM",,,Week
Distance Goal,Run,56327.0,"May 30, 2020, 5:29:15 PM",,,Week
Distance Goal,Run,99779.33,"Nov 11, 2021, 11:47:55 AM",,,Week
Distance Goal,Run,83685.89,"Sep 24, 2021, 9:48:03 AM",,,Week
Distance Goal,Run,88513.92,"Aug 18, 2020, 6:55:04 PM",,,Week
Distance Goal,Run,112654.08,"Dec 22, 2020, 8:39:48 AM",,,Week
Distance Goal,Run,88513.92,"Jul 26, 2021, 7:51:44 AM",,,Week
Distance Goal,Run,90123.26,"Nov 2, 2021, 6:09:29 PM",,,Week
Distance Goal,Run,90123.26,"Sep 7, 2021, 10:49:31 AM",,,Week
Distance Goal,Run,80467.0,"Aug 7, 2020, 9:00:03 AM",,,Week
Distance Goal,Run,72420.0,"Jul 22, 2019, 4:19:05 PM",,,Week
