Shoe Name,Shoe Brand,Shoe Model
"",Nike,vapor fly 4%
"",Nike,Pegasus 35
"",Nike,Zoom Fly
"",Nike,Grey Pegasus 35
"",Nike,Blue Pegasus Turbo
"",Nike,Black Pegasus Turbo
Second black pair,Nike,Pegasus Turbo
"",Nike,Zoomfly Flyknit
Green,Nike,Pegasus Turbo 2
"",Nike,Next%
"",Nike,White Pegasus 36
"",Nike,Blue Pegasus 36
"",Nike,turbo
black/green,Nike,turbo
black,Nike,Pegasus 36
"",Nike,Turbo 2 black/pink
"",Nike,Turbo 2 green/orange
White,Nike,Pegasus 37
"",Nike,Infinity React
"",Nike,Turbo 2 blue/yellow
"",Nike,Turbo 2 Purple
"",Nike,Turbo 2 (Green)
black,Saucony,Endorphin Speed
"",Saucony,Endorphin Pro 2
"",Nike,Next%2 (Blue/yellow)
,Nike,Next% 2 fly knit (white)
,Nike,Turbo 2 (Red)
,Nike,Pegasus 38 (Grey)
